sample	genotype	reporter	txn_inh	m6A_inh	transl_inh	time	time_num	target	experiment	replicate	Ct	expression	is_outlier
C4_4h_ActD_STM_none_WT	WT	C4	ActD	STM	mock	4h	4	YTHDF2	2024-07-12	rep3	23.2733240345566	0.0986486872244762	FALSE
C2_0h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	0h	0	TDH1	2024-07-12	rep1	23.1331124604421	0.10870270021365	FALSE
C2_0h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	0h	0	GAPDH	2024-07-12	rep1	22.239272555595	0.202016529447558	FALSE
C2_0h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	0h	0	Neon2	2024-07-12	rep1	20.1243628626573	0.874913750500708	FALSE
C2_0h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	0h	0	mCherry	2024-07-12	rep1	17.803275712881	4.3720376211346	FALSE
C2_0h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	0h	0	YTHDF2	2024-07-12	rep1	22.8347888699034	0.133690130049702	FALSE
C2_0h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	0h	0	TDH1	2024-07-12	rep2	23.0988373223741	0.111315874810285	FALSE
C2_0h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	0h	0	GAPDH	2024-07-12	rep2	22.2064259441626	0.206959914655763	FALSE
C2_0h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	0h	0	Neon2	2024-07-12	rep2	20.1879157635148	0.83720521481942	FALSE
C2_0h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	0h	0	mCherry	2024-07-12	rep2	17.9667742498552	3.90404903172205	FALSE
C2_0h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	0h	0	YTHDF2	2024-07-12	rep2	22.3000985549776	0.193919390344837	FALSE
C2_0h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	0h	0	TDH1	2024-07-12	rep3	22.6228288792362	0.154834375328669	FALSE
C2_0h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	0h	0	GAPDH	2024-07-12	rep3	21.6453608933761	0.30708829165097	FALSE
C2_0h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	0h	0	Neon2	2024-07-12	rep3	19.2134976135537	1.6450100823949	FALSE
C2_0h_ActD_mock_none_WT	WT	C2	ActD	mock	mock	0h	0	mCherry	2024-07-12	rep3	17.0712258038796	7.26207018818634	FALSE
